FileName,MoleculeListName,MoleculeName,PrecursorMz,ProductMz,RetentionTime,StartTime,EndTime,Area,Height,AcquiredTime
Sample_1,DAG,DAG(18:2_20:3),660.5,337.3,9.10913372,8.985933304,9.232334137,382442.9063,103939.4531,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_20:4),658.5,337.3,8.180732727,8.027132988,8.439932823,2592677.75,468527.8438,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_20:4),658.5,337.3,8.186816216,8.026016235,8.44141674,1370837.25,224526.4219,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_20:5),656.5,337.3,7.36289978,7.218899727,7.626899719,448954.875,76482.47656,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_20:5),656.5,337.3,7.348599911,7.222599983,7.638400078,115534.1094,19235.80664,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_22:4),686.6,337.3,9.101216316,9.013716698,9.24121666,128607.1875,36377.72656,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_22:4),686.6,337.3,9.118516922,9.012916565,9.241717339,81018.39063,21385.26563,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_22:5),684.6,337.3,8.735566139,8.575965881,8.928766251,247315.4219,57174.11328,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_22:5),684.6,337.3,8.715049744,8.582449913,8.933449745,126920.6719,24444.42578,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_22:6),682.5,337.3,7.857599735,7.708799839,8.105599403,444613.0313,89580.98438,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_22:6),682.5,337.3,7.871883392,7.706783295,8.100483894,239223.7344,45187.54688,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(20:0_20:0),698.6,369.3,9.873482704,9.583083153,9.992282867,19100202,6699202.5,03/14/2021 05:33:51
Sample_1,DAG,DAG(20:0_20:0),698.6,369.3,9.857516289,9.580316544,9.989516258,75106.15625,22762.61133,03/13/2021 16:21:44
PLASMA_LTR,DAG,SIL_DAG(15:0_18:1)_d7_SPLASH,605.5,306.307,9.246132851,9.123633385,9.316132545,3811.070068,1528.51123,03/14/2021 05:33:51
Sample_1,DAG,SIL_DAG(15:0_18:1)_d7_SPLASH,605.5,306.307,9.262499809,9.121700287,9.315299988,1039.443604,903.5479736,03/13/2021 16:21:44
PLASMA_LTR,DAG,SIL_DAG(16:0_16:0)_d9_Lipidyzer,595.5,322.3,9.372666359,9.28516674,9.460166931,983810.375,414275.3125,03/14/2021 05:33:51
Sample_1,DAG,SIL_DAG(16:0_16:0)_d9_Lipidyzer,595.5,322.3,9.371500015,9.283499718,9.459500313,1272682.125,523309.625,03/13/2021 16:21:44
