Molecule List Name	Precursor Name	Precursor Mz	Precursor Charge	Product Mz	Product Charge	Explicit Retention Time	Explicit Retention Time Window	Note	Source_ID	Source	control_chart	original_Precursor_Name	original_Note
CL	CL(16:0_16:0_18:0_18:1)	702.502	-2	281.249	-1	10.39	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:0_18:1)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:0_18:2)	701.494	-2	279.233	-1	10.34	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:0_18:2)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:0_20:4)	713.494	-2	303.233	-1	10.25	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:0_20:4)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:1_18:1)	701.494	-2	281.249	-1	10.31	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:1_18:1)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:1_18:2)	700.487	-2	279.233	-1	10.25	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:1_18:2)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:1_20:0)	716.518	-2	311.296	-1	10.12	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:1_20:0)	SIL_CL(15:0_15:0_15:0_16:1)
CL	CL(16:0_16:0_18:1_20:4)	712.487	-2	303.233	-1	10.26	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:1_20:4)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:2_18:2)	699.479	-2	279.233	-1	10.13	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:2_18:2)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_18:2_20:0)	715.51	-2	311.296	-1	10.1	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:2_20:0)	SIL_CL(15:0_15:0_15:0_16:1)
CL	CL(16:0_16:0_18:2_20:4)	711.479	-2	303.233	-1	10.25	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:2_20:4)	SIL_CL(15:0_15:0_15:0_16:1)
